dataset_replicate,architecture,outcome,n_hmms,K_only_rmse,augmented_rmse,augmented_rmse_reduction_percent,mean_squared_error_advantage,exact_two_sided_sign_flip_p
0,GRU,A_width_shape,16,0.011754398093242663,0.007742573211622188,34.13041526921555,7.821843459709723e-05,0.06280517578125
0,GRU,mean_excess_ce_H,16,0.021486807469908487,0.017661211193824536,17.804395936630247,0.0001497645144160421,0.342529296875
0,Transformer,A_width_shape,16,0.012256694250088305,0.008479498708739252,30.81740854653236,7.832465558863707e-05,0.16278076171875
0,Transformer,mean_excess_ce_H,16,0.025508639688541838,0.017698864541429195,30.61619609069431,0.0003374408927039921,0.215484619140625
1,GRU,A_width_shape,16,0.011522234690689234,0.006406639680442096,44.39759428247798,9.171686027230725e-05,0.101959228515625
1,GRU,mean_excess_ce_H,16,0.016975000503499267,0.014246944576740568,16.071021183158916,8.517521232108291e-05,0.382843017578125
1,Transformer,A_width_shape,16,0.013177147681515117,0.008597305462351526,34.755945139692,9.972355980747985e-05,0.25201416015625
1,Transformer,mean_excess_ce_H,16,0.025375057078951095,0.017629775119596233,30.523209998134995,0.0003330845509924916,0.09405517578125
2,GRU,A_width_shape,16,0.014712567358188024,0.007889009125744086,46.37911294690797,0.00015422317328314623,0.034454345703125
2,GRU,mean_excess_ce_H,16,0.0189032821339579,0.011268157621297506,40.39047007051035,0.00023036269925760686,0.062103271484375
2,Transformer,A_width_shape,16,0.011350408946819384,0.008282565515437079,27.028483693902302,6.023089174253005e-05,0.293701171875
2,Transformer,mean_excess_ce_H,16,0.026834209274997006,0.021332277963400977,20.50342253506422,0.00026500870430653254,0.3148193359375
